City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,chornomors'k,46.305,30.6548,16.48,71,10,9.02,UA,1697141610
337,carbonear,47.7332,-53.2148,14.23,96,91,2.5,CA,1697141610
338,tabou,4.423,-7.3528,25.23,89,100,2.42,CI,1697141610
339,kununurra,-15.7667,128.7333,22.99,78,100,0.0,AU,1697141610
340,kailua-kona,19.6406,-155.9956,28.06,73,0,3.6,US,1697141610
341,balikpapan,-1.2675,116.8289,25.89,81,100,3.52,ID,1697141610
342,launceston,-41.45,147.1667,10.45,93,75,3.09,AU,1697141610
343,kiunga,-6.1219,141.2906,22.79,100,100,0.42,PG,1697141611
344,lincheng,19.9078,109.6858,25.12,83,93,5.94,CN,1697141611
345,belmonte,-15.8631,-38.8828,25.48,72,47,4.95,BR,1697141611
346,tubarjal,30.4999,38.216,24.13,26,0,3.09,SA,1697141611
347,deniliquin,-35.5333,144.9667,5.98,88,0,3.65,AU,1697141611
348,thurles,52.6819,-7.8022,12.49,89,100,1.93,IE,1697141611
349,pointe-noire,-4.7761,11.8635,26.04,89,75,2.57,CG,1697141611
350,namdrik,5.5994,168.1028,28.53,74,92,2.43,MH,1697141611
351,berezovyy,51.6667,135.7,8.75,75,95,3.4,RU,1697141611
352,mil'kovo,55.6078,37.7956,11.73,74,83,6.79,RU,1697141611
353,vilhena,-12.7406,-60.1458,30.86,40,88,2.35,BR,1697141611
354,progreso,21.2833,-89.6667,36.73,66,99,5.24,MX,1697141611
355,el granada,37.5027,-122.4694,26.61,53,0,6.17,US,1697141612
356,phang nga,8.4509,98.5298,26.02,94,100,0.9,TH,1697141612
357,vorkuta,67.5,64.0,-0.3,73,100,6.44,RU,1697141612
358,zyryanskoye,56.8306,86.6258,6.35,69,100,3.35,RU,1697141612
359,kristiansund,63.1115,7.732,8.03,81,75,5.66,NO,1697141612
360,boundiali,9.5217,-6.4869,26.18,72,98,1.42,CI,1697141422
